corpus	text	type	recorded	speaker	gender	age	born
cypgreek	jitros	TN	1960	CG01	female	73	1887
cypgreek	minaes	TN	1960	CG01	female	73	1887
cypgreek	psarin	TN	1964	CG01	female	77	1887
english	kent01	AN	1975	EN01	male	85	1890
english	kent02	AN	1975	EN01	male	85	1890
nkurd	muserz01	TN	2000	NK01	male	c50	c1950
nkurd	muserz02	TN	2002	NK02	female	c60	c1940
nkurd	muserz03	TN	2000	NK01	male	c50	c1950
persian	g1-f-01	SN	2015	PS01	female	39	1976
persian	g1-f-02	SN	2015	PS02	female	29	1986
persian	g1-f-05	SN	2015	PS05	female	26	1989
persian	g1-f-07	SN	2015	PS07	female	25	1990
persian	g1-f-08	SN	2015	PS08	female	25	1990
persian	g1-f-09	SN	2015	PS09	female	25	1990
persian	g1-f-10	SN	2015	PS10	female	31	1984
persian	g1-f-11	SN	2015	PS11	female	33	1982
persian	g1-f-12	SN	2015	PS12	female	33	1982
persian	g1-f-14	SN	2015	PS14	female	29	1986
persian	g1-m-03	SN	2015	PS03	male	22	1993
persian	g1-m-04	SN	2015	PS04	male	25	1990
persian	g1-m-06	SN	2015	PS06	male	32	1983
persian	g1-m-13	SN	2015	PS13	male	35	1980
persian	g2-f-01	SN	2015	PS15	female	20	1995
persian	g2-f-02	SN	2015	PS16	female	20	1995
persian	g2-f-03	SN	2015	PS17	female	20	1995
persian	g2-f-04	SN	2015	PS18	female	20	1995
persian	g2-f-05	SN	2015	PS19	female	20	1995
persian	g2-f-06	SN	2015	PS20	female	38	1977
persian	g2-f-07	SN	2015	PS21	female	33	1982
persian	g2-m-08	SN	2015	PS22	male	20	1995
persian	g2-m-09	SN	2015	PS23	male	22	1993
persian	g2-m-10	SN	2015	PS24	male	20	1995
persian	g2-m-11	SN	2015	PS25	male	25	1990
persian	g2-m-12	SN	2015	PS26	male	20	1995
persian	g2-m-13	SN	2015	PS27	male	20	1995
persian	g2-m-14	SN	2015	PS28	male	20	1995
persian	g2-m-15	SN	2015	PS29	male	27	1988
sanzhi	asabali	AN	2012	SD01	male	76	1935
sanzhi	bazhuk	TN	2013	SD02	male	51	1963
sanzhi	dragon	TN	2013	SD02	male	51	1963
sanzhi	kurban	AN	2011	SD03	male	60	1951
sanzhi	mill	TN	2013	SD01	male	77	1935
sanzhi	patima	TN	2013	SD02	male	51	1963
sanzhi	ramazan	AN	2012	SD04	male	58	1954
sanzhi	tape	AN	2011	SD03	male	60	1951
teop	iar	TN	2003	TP01	female	c70	c1930
teop	mat	TN	2004	TP02	female	c30	c1970
teop	sii	TN	2004	TP03	female	c60	c1940
teop	viv	TN	2004	TP04	female	c30	c1970
tondano	gulamera	SN	2011	TD01	female	c50	c1960
tondano	holiday	AN	2011	TD01	female	c50	c1960
tondano	kiniar01	SN	2013	TD02	male	c40	c1970
tondano	kiniar02	SN	2013	TD03	male	c50	c1960
tondano	kiniar03	SN	2013	TD03	male	c50	c1960
tondano	mapalus	AN	2011	TD04	female	c50	c1960
tondano	water	SN	2011	TD05	female	c40	c1970
tondano	watulaney	AN	2011	TD06	female	c40	c1970
tulil	all1	TN	2012	TL01	male	53	1959
tulil	alrm	AN	2014	TL01	male	55	1959
tulil	jkpp	AN	2014	TL02	male	74	1940
tulil	lnsl	TN	2014	TL03	male	c55	c1960
tulil	lrdw	TN	2007	TL04	male	77	1930
tulil	sves	TN	2014	TL05	female	c80	c1930
veraa	anv	TN	2007	VR01	female	c20	c1985
veraa	as1	TN	2007	VR02	male	c40	c1965
veraa	gabg	TN	2007	VR03	male	c40	c1965
veraa	gaqg	TN	2007	VR04	male	c40	c1965
veraa	hhak	TN	2007	VR05	male	c20	c1985
veraa	isam	TN	2007	VR06	male	c60	c1950
veraa	iswm	TN	2007	VR07	male	c60	c1950
veraa	jjq	TN	2007	VR08	male	c60	c1950
veraa	mvbw	TN	2007	VR09	male	c30	c1975
veraa	pala	TN	2007	VR10	female	c40	c1965
